tipo,nome,codigoUnidade,unidadeEnsino,dependenciaAdm,subdependenciaAdm,estado,codigoMunicipio,municipio,cep,logradouro,numero,email,telefone1,telefone2,codigoEmec,codigoIes,codigoInep
FEDERAL,Escolas Técnicas,2209,ESCOLA DE EDUCAÇÃO PROFISSIONAL SENAC - LAJEADO,ARTIGO 240 - SISTEMA S,SENAC,RS,4311403,LAJEADO,95900000,Av. Senador Alberto Pasqualini,421,senaclajeado@senacrs.com.br,5137484644,,null,null,43209394
FEDERAL,Escolas Técnicas,10505,ESCOLA SENAI NAMI JAFET - MOGI DAS CRUZES,ARTIGO 240 - SISTEMA S,SENAI,SP,3530607,MOGI DAS CRUZES,08780070,Rua Dom Antônio Cândido de Alvarenga,353,itammar@sp.senai.br,1147281111,,null,null,35147886
FEDERAL,IPES,50212,FACULDADE SETE LAGOAS - FACSETE - PRÉDIO NOVO Nº 86,PRIVADA,null,MG,3167202,SETE LAGOAS,35700170,Rua Itália Pontelo,86,ivanandrade@facsete.edu.br,3137733268,3197891177,1059845,12620,12620
ESTADUAL / DISTRITAL,Escolas Técnicas,46336,EETEPA - FRANCISCO COIMBRA LOBATO,PÚBLICA,null,PA,1506807,SANTARÉM,68037001,Av Engenheiro Fernando Guilhon,s/n,santarem.eetepa@gmail.com,9391886274,9391233239,null,null,15168964
FEDERAL,IPES,24720,POLO SÃO CARLOS - POLO SÃO CARLOS,PRIVADA,null,SP,3548906,SÃO CARLOS,13561206,R Quinze de Novembro,1333,null,(16) 814207266,null,2005437,449,null
ESTADUAL / DISTRITAL,Escolas Técnicas,43419,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEIJI HATANDA,PÚBLICA,null,PR,4109708,IBAITI,84900000,RUA Theodomiro Eugênio Asth,180,ibtceepseijihatanda@seed.pr.gov.br,(43) 3546-4516,(43) 3546-1735,null,null,41155041
FEDERAL,Escolas de Oferta Outros Cursos,31979,INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS AVANÇADO JAGUARÃO,PÚBLICA,null,RS,4311007,JAGUARÃO,96300000,CORREDOR DA TROPAS,801,jaguarão@ifsul.edu.br,5399234801,5333091750,null,null,0
FEDERAL,Escolas Técnicas,11483,ESCOLA SENAI HERMENEGILDO CAMPOS DE ALMEIDA - GUARULHOS,ARTIGO 240 - SISTEMA S,SENAI,SP,3518800,GUARULHOS,07114000,Avenida Doutor Renato de Andrade Maia,601,fmorgado@dn.senai.br,1131467228,112461,null,null,35147936
ESTADUAL / DISTRITAL,Escolas Técnicas,14039,COLEGIO ESTADUAL LEONCIO CORREIA - ENSINO FUNDAMENTAL- MÉDIO E PROFISSIONAL,PÚBLICA,null,PR,4106902,CURITIBA,82510180,Rua Costa Rica,233,ctaleonciocorreia@seed.pr.gov.br,4132576488,,null,null,41130499
ESTADUAL / DISTRITAL,Escolas Técnicas,44563,GRAU TÉCNICO - UNIDADE CAJAZEIRAS,PRIVADA,null,BA,2927408,SALVADOR,41347006,Avenida Engenheiro Raymundo Carlos Nery,s/n,diretoriacajazeiras@grautecnico.com.br,7130276060,7187120260,null,null,0
